TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
14;true;8;false;off ;low ;true;REQ005REQ009
64;false;3;true;on ;low ;false;REQ006REQ010
95;true;10;true;off ;high ;false;REQ001REQ011REQ002
121;false;5;true;on ;low ;false;REQ004REQ003REQ010
167;false;6;false;on ;low ;false;
205;false;8;true;on ;low ;false;
219;true;2;false;off ;low ;true;REQ005REQ009
230;true;1;true;on ;low ;false;REQ006REQ010
243;false;1;true;on ;low ;false;
284;false;0;true;on ;low ;false;
323;true;1;true;on ;low ;false;
357;false;1;true;on ;low ;false;
372;true;11;false;off ;high ;false;REQ001REQ002REQ011
383;true;5;false;on ;low ;false;REQ004REQ003REQ010
412;true;8;true;on ;low ;false;
427;false;8;true;on ;low ;false;
442;true;8;true;on ;low ;false;
472;true;0;true;on ;low ;false;
521;false;2;true;on ;low ;false;
544;false;8;true;on ;low ;false;
590;true;10;true;off ;high ;false;REQ001REQ011REQ002
601;true;2;true;on ;low ;false;REQ004REQ003REQ010
649;true;10;true;off ;high ;false;REQ001REQ011REQ002
696;false;9;false;off ;permitted ;false;REQ004
708;true;9;true;off ;permitted ;false;
738;false;9;true;off ;permitted ;false;
754;true;10;false;off ;high ;false;REQ002
772;true;1;false;on ;low ;false;REQ004REQ003REQ010
813;true;11;true;off ;high ;false;REQ001REQ002REQ011
849;false;10;true;off ;high ;false;
899;true;6;true;on ;low ;false;REQ004REQ003REQ010
919;false;10;false;off ;high ;false;REQ001REQ011REQ002
958;true;6;false;off ;low ;true;REQ004REQ005REQ003
970;false;10;true;off ;high ;false;REQ001REQ006REQ002
980;true;8;true;on ;low ;false;REQ004REQ003REQ010
1030;false;7;false;on ;low ;false;
