TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;true;false;1;0;
6;true;true;0;0;REQ001
8;false;false;0;0;
11;false;true;0;0;
14;true;false;0;0;
17;false;false;0;0;
20;false;false;0;0;
22;true;false;3;0;REQ002
25;true;false;3;0;
27;false;true;3;0;
30;true;true;3;0;
33;false;true;1;1;REQ004
35;true;false;1;1;
38;true;true;0;1;REQ001
40;true;false;0;1;
42;false;true;0;1;
44;false;true;0;1;
47;true;true;0;1;
50;true;false;0;1;
52;false;false;0;1;
54;false;true;0;1;
56;true;true;0;1;
59;true;true;0;1;
61;true;false;0;1;
63;true;false;0;1;
66;true;true;0;1;
69;false;false;0;1;
72;true;true;0;1;
75;true;false;0;1;
77;false;false;0;1;
80;false;false;0;1;
83;false;true;0;1;
