TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
39;true;false;false;true;4;REQ005
82;false;false;true;false;2;REQ003
127;true;false;true;false;4;REQ005
148;false;true;true;true;5;REQ007
182;false;true;false;false;5;REQ007
217;true;true;false;true;5;REQ008
259;true;true;false;false;5;
305;true;true;true;true;5;
346;true;false;true;false;4;REQ005
366;false;false;true;true;0;REQ001
414;true;false;true;true;4;REQ005
445;false;false;true;false;2;REQ003
466;false;true;false;false;5;REQ007
479;true;false;false;false;4;REQ005
508;true;true;false;false;4;REQ006
549;false;true;false;true;5;REQ007
575;false;true;true;false;5;REQ007
600;true;false;true;true;4;REQ005
628;true;true;false;true;4;REQ006
671;true;false;true;false;4;REQ005
685;false;false;false;false;3;REQ004
727;true;false;true;true;4;REQ005
755;false;false;false;true;1;REQ002
802;false;false;true;false;2;REQ003
839;false;true;false;true;5;REQ007
