TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
21;true;true;true;true;3;
39;true;true;true;false;3;
66;true;true;true;true;3;
76;false;false;true;false;2;REQ003
88;true;false;true;false;4;REQ005
127;true;true;false;true;4;REQ006
160;false;false;true;true;0;REQ001
179;true;true;false;false;0;
224;false;true;false;false;5;REQ007
234;false;true;true;false;5;REQ007
278;true;true;false;true;5;REQ008
293;true;true;false;false;5;
317;true;true;false;false;5;
361;false;false;true;false;2;REQ003
402;true;false;true;false;4;REQ005
446;true;true;true;true;4;REQ006
494;true;true;true;false;4;
507;true;true;false;true;4;
525;false;false;false;true;1;REQ002
542;true;false;false;true;4;REQ005
576;true;true;false;false;4;REQ006
612;false;true;true;false;5;REQ007
644;true;false;true;true;4;REQ005
692;false;false;false;false;3;REQ004
702;false;true;false;false;5;REQ007
