TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
331;1;2;81;0;0;REQ012REQ004
638;0;1;81;1;1;REQ010REQ002
924;1;2;81;0;0;REQ002REQ012REQ004
1260;0;1;80;2;1;REQ010REQ001
1481;1;0;79;2;0;REQ012
1728;1;1;81;1;1;REQ009REQ013REQ002
2029;1;1;79;2;1;REQ001
2294;1;2;79;2;3;REQ014
2569;1;1;80;2;1;REQ013
2830;1;0;81;0;0;REQ002REQ015REQ004
3050;0;2;81;3;3;REQ004REQ011REQ003
3357;0;2;80;2;3;REQ001
3671;1;1;79;2;0;REQ012
3964;0;2;81;3;3;REQ011REQ003
4255;1;1;79;2;0;REQ001REQ012
4496;0;2;79;2;3;REQ011
4769;0;2;80;2;3;
5062;1;0;80;2;0;REQ012
5375;0;0;81;0;0;REQ009REQ004
5647;1;0;79;2;0;REQ001REQ012
5968;1;0;79;2;0;
6219;0;0;80;2;0;
6529;1;1;80;2;0;REQ012
6814;1;1;79;2;0;
7090;1;2;81;3;3;REQ009REQ004REQ014REQ003
