TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
336;1;1;80;2;0;REQ012
642;0;1;80;2;1;REQ016
962;1;1;81;0;0;REQ012REQ004
1193;1;0;79;2;0;REQ001
1457;1;2;79;2;3;REQ014
1767;1;0;79;2;0;REQ015
1989;0;2;80;2;3;REQ011
2217;1;1;81;0;0;REQ003REQ012REQ004
2558;1;1;81;0;0;REQ004
2796;1;0;79;2;0;REQ001
3060;1;1;80;2;1;REQ013
3289;1;1;81;1;1;REQ002
3510;1;1;81;1;1;REQ002
3783;0;1;80;2;1;REQ001
4044;0;0;81;1;1;REQ002
4331;0;0;80;2;1;REQ001
4664;0;1;80;2;1;REQ010
4963;0;1;79;2;1;
5287;0;2;81;3;3;REQ007REQ011REQ003
5620;0;2;79;2;3;REQ001
5936;0;1;80;2;1;REQ010
6265;1;2;80;2;0;REQ012
6552;1;1;79;2;1;REQ013
6828;0;1;80;2;1;
7156;0;2;80;2;3;REQ011
