TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
35;true;true;false;false;3;
84;true;true;true;false;3;
97;false;false;true;false;2;REQ003
125;true;false;false;false;4;REQ005
161;true;true;true;true;4;REQ006
207;true;true;false;true;4;
253;true;true;false;false;4;
300;false;true;false;true;5;REQ007
337;true;true;true;false;5;REQ008
380;false;false;false;true;1;REQ002
421;false;false;false;true;1;REQ002
454;false;false;true;true;0;REQ001
499;false;true;true;false;5;REQ007
527;false;false;true;false;2;REQ003
557;false;false;true;true;0;REQ001
588;true;true;true;false;0;
634;true;false;false;true;4;REQ005
656;false;false;false;false;3;REQ004
689;true;false;true;false;4;REQ005
705;true;true;false;false;4;REQ006
716;false;true;false;true;5;REQ007
739;true;true;false;false;5;REQ008
779;false;true;false;true;5;REQ007
822;false;true;true;true;5;REQ007
839;true;true;true;false;5;REQ008
