TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;true;false;1;0;
6;false;true;0;0;REQ001
8;true;false;0;0;
11;true;false;0;0;
14;false;false;0;0;
17;false;true;0;0;
19;true;true;0;0;
22;false;true;0;0;
24;true;true;0;0;
27;false;false;0;0;
30;true;false;3;0;REQ002
32;false;false;3;0;
35;false;false;3;0;
38;false;true;3;0;
41;true;false;1;1;REQ004
43;true;false;1;1;
46;true;true;0;1;REQ001
48;false;true;0;1;
51;true;true;0;1;
53;false;true;0;1;
55;true;false;0;1;
58;true;true;0;1;
60;false;false;0;1;
62;false;false;0;1;
64;true;true;0;1;
67;false;false;0;1;
70;true;true;0;1;
73;false;true;0;1;
76;true;true;0;1;
79;true;false;0;1;
82;true;false;0;1;
84;false;false;0;1;
