TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
33;false;false;true;true;0;REQ001
51;true;true;false;true;0;
95;true;true;false;false;0;
132;false;false;true;true;0;REQ001
144;true;false;true;false;4;REQ005
156;false;true;false;true;5;REQ007
180;true;false;false;false;4;REQ005
217;false;false;true;true;0;REQ001
261;true;true;false;false;0;
285;false;false;false;true;1;REQ002
294;true;false;true;true;4;REQ005
332;true;false;true;false;4;REQ005
371;false;false;true;true;0;REQ001
418;false;true;true;false;5;REQ007
461;false;false;true;false;2;REQ003
473;true;true;false;true;2;
500;false;false;false;false;3;REQ004
515;true;false;true;true;4;REQ005
550;false;true;true;false;5;REQ007
563;false;false;false;false;3;REQ004
603;false;false;false;true;1;REQ002
640;false;false;true;false;2;REQ003
684;true;false;true;true;4;REQ005
723;false;false;true;true;0;REQ001
771;true;true;false;true;0;
