TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
275;0;0;81;2;2;REQ005
612;1;1;80;2;0;REQ001REQ012
893;1;1;79;2;0;
1192;1;2;81;3;3;REQ014REQ003
1413;1;2;80;2;3;REQ001
1647;0;0;79;2;3;
1947;0;2;80;2;3;REQ011
2205;0;0;80;2;3;
2427;0;0;81;3;3;REQ008REQ003
2667;1;1;81;0;0;REQ012REQ004
2994;0;2;81;3;3;REQ004REQ011REQ003
3312;0;1;79;2;1;REQ010REQ001
3584;1;1;79;2;0;REQ012
3906;0;2;81;3;3;REQ011REQ003
4213;0;2;81;3;3;REQ003
4521;0;1;79;2;1;REQ010REQ001
4854;0;2;79;2;3;REQ011
5100;1;1;79;2;0;REQ012
5354;1;2;80;2;3;REQ014
5647;0;2;79;2;3;
5986;0;0;81;3;3;REQ003
6246;0;1;79;2;1;REQ001REQ010
6564;1;0;81;0;0;REQ007REQ002REQ012REQ004
6853;1;2;80;2;3;REQ001REQ014
7164;0;0;81;3;3;REQ008REQ003
