TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
250;0;0;80;2;2;
498;1;0;81;0;0;REQ005REQ012REQ004
837;0;1;80;2;1;REQ010REQ001
1115;0;1;80;2;1;
1392;1;2;81;0;0;REQ012REQ004
1617;1;1;79;2;1;REQ001REQ013
1837;1;2;80;2;3;REQ014
2140;1;0;80;2;0;REQ015
2467;0;1;81;1;1;REQ004REQ010REQ002
2801;1;1;80;2;0;REQ001REQ012
3026;0;0;80;2;0;
3328;0;2;81;3;3;REQ011REQ003
3668;1;2;79;2;0;REQ001REQ012
3927;1;1;79;2;1;REQ013
4219;0;2;79;2;3;REQ011
4451;0;2;80;2;3;
4732;1;1;79;2;0;REQ012
5040;1;2;81;3;3;REQ009REQ014REQ003
5380;1;0;81;0;0;REQ003REQ015REQ004
5699;1;0;80;2;0;REQ001
6030;0;1;79;2;1;REQ010
6329;0;0;79;2;1;
6560;1;2;80;2;0;REQ012
6838;0;0;79;2;0;
7107;0;2;80;2;3;REQ011
