TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
225;1;1;81;0;0;REQ005REQ012REQ004
553;1;0;80;2;0;REQ001
824;0;2;80;2;3;REQ011
1076;0;2;80;2;3;
1410;0;1;79;2;1;REQ010
1737;1;2;81;0;0;REQ012REQ004
2004;0;2;81;3;3;REQ004REQ017REQ003
2228;1;2;80;2;0;REQ012REQ001
2451;0;1;80;2;1;REQ010
2790;1;0;81;0;0;REQ002REQ012REQ004
3018;0;1;81;1;1;REQ004REQ010REQ002
3269;1;1;79;2;0;REQ001REQ012
3502;0;2;81;3;3;REQ009REQ011REQ003
3795;0;0;81;3;3;REQ003
4134;1;2;81;0;0;REQ012REQ004
4464;0;0;80;2;0;REQ001
4784;0;1;80;2;1;REQ010
5074;1;1;80;2;0;REQ012
5369;0;2;80;2;3;REQ011
5630;1;2;81;0;0;REQ008REQ003REQ012REQ004
5950;1;0;80;2;0;REQ001
6279;0;1;81;1;1;REQ004REQ010REQ002
6520;1;2;80;2;0;REQ001REQ012
6778;1;1;79;2;1;REQ013
7014;0;2;80;2;3;REQ011
