TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
32;true;true;true;false;3;
62;true;false;true;true;4;REQ005
72;false;true;false;false;5;REQ007
101;false;true;true;true;5;REQ007
116;false;true;false;true;5;REQ007
166;false;true;false;false;5;REQ007
200;false;true;true;false;5;REQ007
245;false;false;true;true;0;REQ001
283;true;true;false;true;0;
316;false;false;true;false;2;REQ003
366;true;false;true;true;4;REQ005
390;true;true;true;false;4;REQ006
411;false;false;false;true;1;REQ002
438;true;true;false;false;1;
465;true;true;true;true;1;
479;false;true;false;false;5;REQ007
501;true;true;true;false;5;REQ008
548;false;false;true;true;0;REQ001
559;true;true;true;true;0;
590;false;false;false;true;1;REQ002
641;true;false;true;false;4;REQ005
680;true;false;false;false;4;REQ005
698;true;true;true;true;4;REQ006
732;true;false;false;false;4;REQ005
768;true;false;false;false;4;REQ005
