TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
30;false;true;false;false;5;REQ007
48;true;false;true;false;4;REQ005
77;false;false;true;true;0;REQ001
106;false;true;false;false;5;REQ007
155;true;false;true;false;4;REQ005
164;false;false;false;true;1;REQ002
207;false;true;false;true;5;REQ007
242;true;true;false;true;5;REQ008
274;false;true;false;true;5;REQ007
323;true;true;false;false;5;REQ008
352;true;false;false;true;4;REQ005
387;false;true;true;false;5;REQ007
404;true;true;false;false;5;REQ008
438;true;false;false;true;4;REQ005
465;false;false;false;true;1;REQ002
508;true;true;true;true;1;
528;false;true;false;false;5;REQ007
558;true;true;true;true;5;REQ008
570;false;true;false;true;5;REQ007
599;true;false;false;true;4;REQ005
627;false;false;true;false;2;REQ003
650;false;true;true;true;5;REQ007
681;false;true;true;true;5;REQ007
710;false;false;false;true;1;REQ002
748;true;false;true;false;4;REQ005
