TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
324;1;1;80;2;0;REQ012
559;0;1;81;1;1;REQ004REQ016REQ002
851;1;2;80;2;0;REQ001REQ012
1180;1;0;80;2;0;
1475;1;2;79;2;3;REQ014
1743;0;0;81;3;3;REQ003
2008;1;0;79;2;0;REQ001REQ012
2344;0;2;79;2;3;REQ011
2642;0;2;81;3;3;REQ003
2945;0;0;79;2;3;REQ001
3245;1;2;80;2;0;REQ012
3482;0;1;79;2;1;REQ010
3738;0;0;81;1;1;REQ007REQ002
3971;0;2;80;2;3;REQ001REQ011
4302;1;1;80;2;0;REQ012
4559;0;0;81;0;0;REQ009REQ004
4779;1;2;80;2;0;REQ012REQ001
5107;0;2;79;2;3;REQ017
5378;1;0;81;0;0;REQ012REQ004
5669;1;2;80;2;3;REQ014REQ001
5919;1;2;81;3;3;REQ008REQ003
6161;0;0;80;2;3;REQ001
6478;1;0;81;0;0;REQ012REQ004
6726;1;2;80;2;3;REQ014REQ001
6985;0;2;79;2;3;
