TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
18;true;false;true;false;4;REQ005
41;false;true;true;false;5;REQ007
59;false;true;true;false;5;REQ007
80;true;false;false;true;4;REQ005
121;true;false;true;true;4;REQ005
149;false;false;false;true;1;REQ002
190;false;false;true;false;2;REQ003
228;true;true;false;false;2;
259;true;false;true;true;4;REQ005
306;true;false;true;false;4;REQ005
316;false;true;false;false;5;REQ007
365;true;true;true;true;5;REQ008
415;true;false;false;true;4;REQ005
454;true;false;false;false;4;REQ005
503;true;true;true;true;4;REQ006
517;false;false;true;true;0;REQ001
556;true;false;false;false;4;REQ005
601;false;false;false;false;3;REQ004
622;false;true;false;true;5;REQ007
647;false;true;false;false;5;REQ007
669;true;true;false;true;5;REQ008
694;true;false;true;false;4;REQ005
730;false;false;true;false;2;REQ003
761;true;false;false;true;4;REQ005
811;true;false;true;false;4;REQ005
