TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
39;true;2;true;on ;low ;false;
49;false;6;false;on ;low ;false;
82;true;11;true;off ;high ;false;REQ001REQ011REQ002
116;false;8;true;on ;low ;false;REQ004REQ003REQ010
126;false;0;true;on ;low ;false;
142;false;1;false;on ;low ;false;
160;false;1;true;on ;low ;false;
176;false;4;false;on ;low ;false;
222;true;5;true;on ;low ;false;
235;false;2;true;on ;low ;false;
269;false;9;true;off ;permitted ;false;REQ001REQ011
282;false;7;false;on ;low ;false;REQ003REQ010
310;true;0;true;on ;low ;false;
349;true;4;true;on ;low ;false;
361;true;0;true;on ;low ;false;
377;false;9;true;off ;permitted ;false;REQ001REQ011
399;false;11;false;off ;high ;false;REQ002
438;true;0;true;on ;low ;false;REQ004REQ003REQ010
453;false;0;false;on ;low ;false;
493;true;8;false;off ;low ;true;REQ005REQ009
529;false;10;false;off ;high ;false;REQ001REQ002REQ007
543;false;10;true;off ;high ;false;
561;true;11;false;off ;high ;false;
588;true;6;false;on ;low ;false;REQ004REQ003REQ010
636;true;6;true;on ;low ;false;
671;true;7;false;on ;low ;false;
699;true;3;false;on ;low ;false;
730;false;11;false;off ;high ;false;REQ001REQ011REQ002
781;true;6;false;off ;low ;true;REQ004REQ003REQ005
825;false;7;false;off ;low ;true;
838;false;8;false;off ;low ;true;
870;false;1;false;off ;low ;true;
891;true;2;false;off ;low ;true;
914;true;6;true;on ;low ;false;REQ006REQ010
959;true;6;false;on ;low ;false;
969;true;7;false;on ;low ;false;
