TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
269;0;0;81;2;2;REQ005
494;1;0;79;2;0;REQ012REQ001
739;1;0;81;0;0;REQ004
1008;1;1;81;1;1;REQ004REQ013REQ002
1312;1;0;80;2;0;REQ001REQ015
1539;1;1;79;2;1;REQ013
1814;0;1;80;2;1;
2038;0;2;81;3;3;REQ011REQ003
2313;1;2;81;0;0;REQ012REQ004
2589;1;1;79;2;1;REQ001REQ013
2918;1;1;80;2;1;
3146;1;0;79;2;0;REQ015
3481;0;1;79;2;1;REQ010
3700;0;2;80;2;3;REQ011
3995;0;1;80;2;1;REQ010
4245;1;0;79;2;0;REQ012
4518;1;2;79;2;3;REQ014
4751;0;1;79;2;1;REQ010
5057;1;2;81;0;0;REQ002REQ012REQ004
5381;1;0;79;2;0;REQ001
5668;0;2;79;2;3;REQ011
5997;0;0;80;2;3;
6298;0;0;79;2;3;
6634;1;1;80;2;0;REQ012
6973;1;0;79;2;0;
