TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
315;1;0;81;0;0;REQ005REQ012REQ004
653;0;0;80;2;0;REQ001
961;0;0;81;0;0;REQ009REQ004
1242;1;2;79;2;0;REQ012REQ001
1550;1;2;79;2;0;
1809;1;0;81;0;0;REQ009REQ004
2040;0;0;81;0;0;
2380;0;2;80;2;3;REQ001REQ011
2679;1;0;79;2;0;REQ012
2916;0;2;79;2;3;REQ011
3256;0;0;79;2;3;
3510;1;1;80;2;0;REQ012
3836;1;0;79;2;0;
4126;0;0;81;0;0;REQ004
4434;0;1;79;2;1;REQ001REQ010
4738;1;1;79;2;0;REQ012
5051;0;2;79;2;3;REQ011
5335;0;2;81;3;3;REQ008REQ003
5589;0;2;79;2;3;REQ001
5845;1;0;81;0;0;REQ008REQ012REQ004
6092;1;1;80;2;1;REQ013REQ001
6328;0;1;79;2;1;
6565;0;2;80;2;3;REQ011
6843;0;1;80;2;1;REQ010
7147;0;1;81;1;1;REQ007REQ002
