TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
283;0;2;80;2;3;REQ011
550;0;0;79;2;3;
846;1;0;80;2;0;REQ012
1127;0;1;79;2;1;REQ010
1465;0;0;80;2;1;
1767;1;0;81;0;0;REQ002REQ012REQ004
2050;1;2;79;2;3;REQ001REQ014
2296;1;1;80;2;1;REQ013
2605;1;1;79;2;1;
2858;0;2;81;3;3;REQ011REQ003
3192;0;1;79;2;1;REQ010REQ001
3440;0;2;81;3;3;REQ011REQ003
3738;0;2;81;3;3;REQ003
4020;0;1;79;2;1;REQ010REQ001
4271;1;1;80;2;0;REQ012
4610;1;1;81;0;0;REQ004
4942;0;2;79;2;3;REQ011REQ001
5233;1;2;79;2;0;REQ012
5543;0;1;81;1;1;REQ009REQ010REQ002
5883;0;0;80;2;1;REQ001
6119;0;2;79;2;3;REQ011
6425;0;2;79;2;3;
6686;0;0;80;2;3;
6927;0;0;80;2;3;
7226;0;2;80;2;3;REQ011
