TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;true;true;0;0;REQ001
5;true;true;0;0;
7;false;false;0;0;
10;true;true;0;0;
13;false;false;0;0;
15;true;false;3;0;REQ002
18;true;true;3;0;
20;false;false;3;0;
22;true;true;3;0;
25;true;true;1;1;REQ004
27;false;true;1;1;
30;true;false;1;1;
32;false;false;1;1;
35;false;false;1;1;
38;false;true;0;1;REQ001
40;false;false;0;1;
42;true;false;3;1;REQ002
45;false;false;3;1;
47;true;true;3;1;
50;false;true;3;1;
53;true;false;1;1;REQ004
56;true;false;1;1;
59;true;true;0;1;REQ001
62;true;true;0;1;
65;false;true;0;1;
67;false;false;0;1;
69;false;true;0;1;
71;true;true;0;1;
74;true;true;0;1;
76;false;true;0;1;
79;false;false;0;1;
82;false;false;0;1;
