TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
291;1;2;80;2;0;REQ012
568;0;0;81;0;0;REQ004
806;1;1;79;2;0;REQ001REQ012
1086;1;0;79;2;0;
1322;1;2;81;3;3;REQ014REQ003
1560;0;2;81;3;3;REQ003
1839;0;2;80;2;3;REQ001
2160;0;0;80;2;3;
2387;0;1;81;1;1;REQ003REQ010REQ002
2610;1;1;81;0;0;REQ002REQ012REQ004
2917;0;1;79;2;1;REQ016REQ001
3138;0;2;79;2;3;REQ011
3444;1;1;81;0;0;REQ008REQ012REQ004
3749;0;1;80;2;1;REQ001REQ016
4019;1;0;79;2;0;REQ012
4264;1;2;79;2;3;REQ014
4605;0;0;81;3;3;REQ003
4840;0;1;79;2;1;REQ010REQ001
5094;1;1;79;2;0;REQ012
5338;0;1;81;1;1;REQ009REQ016REQ002
5561;1;2;80;2;0;REQ001REQ012
5827;0;0;79;2;0;
6052;1;1;81;0;0;REQ012REQ004
6335;1;0;81;0;0;
6600;0;2;80;2;3;REQ001REQ011
