TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
297;1;1;79;2;0;REQ012
535;0;1;79;2;1;REQ016
819;0;2;80;2;3;REQ011
1131;0;0;81;3;3;REQ003
1411;0;0;79;2;3;REQ001
1697;0;1;80;2;1;REQ010
2029;1;2;81;0;0;REQ002REQ012REQ004
2363;0;1;81;1;1;REQ004REQ010REQ002
2627;1;1;79;2;0;REQ012REQ001
2850;0;1;79;2;1;REQ016
3147;1;0;80;2;0;REQ012
3414;1;2;79;2;3;REQ014
3717;0;1;80;2;1;REQ010
3997;1;0;80;2;0;REQ012
4218;0;1;79;2;1;REQ010
4530;0;0;80;2;1;
4828;0;0;80;2;1;
5161;0;1;79;2;1;REQ010
5461;1;1;80;2;0;REQ012
5740;0;0;80;2;0;
6063;0;2;81;3;3;REQ011REQ003
6372;0;0;79;2;3;REQ001
6663;0;1;80;2;1;REQ010
6943;1;2;80;2;0;REQ012
7171;0;2;81;3;3;REQ017REQ003
