TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
14;true;true;true;true;3;
25;false;false;true;true;0;REQ001
73;false;false;true;true;0;REQ001
118;false;true;true;false;5;REQ007
169;false;false;true;false;2;REQ003
219;false;true;false;true;5;REQ007
239;false;true;false;false;5;REQ007
251;true;false;true;true;4;REQ005
277;false;true;true;false;5;REQ007
323;false;false;false;true;1;REQ002
372;true;false;false;true;4;REQ005
389;false;true;false;false;5;REQ007
435;false;false;false;false;3;REQ004
458;false;false;false;true;1;REQ002
489;true;true;false;true;1;
528;false;false;true;false;2;REQ003
547;false;true;false;false;5;REQ007
578;true;false;false;true;4;REQ005
603;false;false;true;false;2;REQ003
628;true;false;false;true;4;REQ005
651;false;false;true;false;2;REQ003
694;false;false;false;false;3;REQ004
712;false;false;true;false;2;REQ003
726;true;false;false;true;4;REQ005
775;false;true;false;false;5;REQ007
