TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
28;false;true;false;false;5;REQ007
45;true;true;true;true;5;REQ008
61;false;false;false;false;3;REQ004
85;false;true;false;false;5;REQ007
104;false;false;false;true;1;REQ002
123;false;true;false;true;5;REQ007
155;false;false;true;true;0;REQ001
167;true;true;false;false;0;
181;true;false;false;false;4;REQ005
202;false;true;true;false;5;REQ007
226;true;true;true;false;5;REQ008
265;true;false;false;true;4;REQ005
294;true;false;true;true;4;REQ005
318;false;true;true;true;5;REQ007
333;false;false;false;true;1;REQ002
360;false;false;false;true;1;REQ002
382;false;true;false;true;5;REQ007
404;true;true;true;true;5;REQ008
419;false;false;false;true;1;REQ002
461;false;false;false;true;1;REQ002
499;false;true;false;false;5;REQ007
528;true;true;false;true;5;REQ008
542;false;false;true;false;2;REQ003
570;false;false;true;false;2;REQ003
598;false;false;false;false;3;REQ004
