TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
33;true;1;true;on ;low ;false;
80;true;1;true;on ;low ;false;
102;false;8;false;on ;low ;false;
113;true;6;true;on ;low ;false;
128;true;3;true;on ;low ;false;
146;false;10;false;off ;high ;false;REQ001REQ002REQ011
186;false;5;true;on ;low ;false;REQ004REQ003REQ010
227;true;5;true;on ;low ;false;
266;true;4;true;on ;low ;false;
312;true;2;true;on ;low ;false;
352;false;2;true;on ;low ;false;
384;false;2;false;on ;low ;false;
398;false;1;true;on ;low ;false;
436;false;4;true;on ;low ;false;
450;false;6;false;on ;low ;false;
462;false;2;true;on ;low ;false;
472;true;9;false;off ;permitted ;true;REQ001REQ011REQ005
495;true;11;false;off ;high ;false;REQ002REQ007
534;true;9;false;off ;permitted ;false;REQ004
552;true;1;true;on ;low ;false;REQ003REQ010
574;true;8;false;on ;low ;false;
600;true;5;false;on ;low ;false;
638;true;10;false;off ;high ;false;REQ001REQ011REQ002
678;false;10;false;off ;high ;false;
688;true;7;true;on ;low ;false;REQ004REQ003REQ010
720;false;5;true;on ;low ;false;
731;false;5;false;on ;low ;false;
747;false;0;true;on ;low ;false;
773;false;10;true;off ;high ;false;REQ001REQ002REQ011
789;false;4;false;on ;low ;false;REQ004REQ003REQ010
804;false;9;true;off ;permitted ;false;REQ001REQ011
825;false;10;false;off ;high ;false;REQ002
838;false;5;true;on ;low ;false;REQ004REQ003REQ010
848;false;5;false;on ;low ;false;
870;true;3;false;off ;low ;true;REQ005REQ009
905;false;9;true;off ;permitted ;false;REQ001REQ006
