TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
29;false;7;false;on ;low ;false;
39;true;6;false;off ;low ;true;REQ005REQ009
70;true;7;true;on ;low ;false;REQ006REQ010
82;true;1;true;on ;low ;false;
103;false;11;false;off ;high ;false;REQ001REQ002REQ011
129;true;10;true;off ;high ;false;
164;false;9;false;off ;permitted ;false;REQ004
204;false;8;true;on ;low ;false;REQ003REQ010
237;true;5;true;on ;low ;false;
274;false;5;false;on ;low ;false;
321;true;8;true;on ;low ;false;
347;true;9;false;off ;permitted ;false;REQ001REQ011
387;false;4;true;on ;low ;false;REQ003REQ010
416;true;4;false;off ;low ;true;REQ005REQ009
425;true;2;true;on ;low ;false;REQ006REQ010
473;false;1;false;on ;low ;false;
508;true;6;true;on ;low ;false;
519;true;7;true;on ;low ;false;
540;true;2;true;on ;low ;false;
586;false;5;false;on ;low ;false;
635;true;3;true;on ;low ;false;
651;false;4;false;on ;low ;false;
692;false;8;false;on ;low ;false;
714;true;1;false;off ;low ;true;REQ005REQ009
745;true;3;false;off ;low ;true;
779;true;3;false;off ;low ;true;
812;true;1;true;on ;low ;false;REQ006REQ010
851;false;5;false;on ;low ;false;
886;true;7;true;on ;low ;false;
935;true;1;true;on ;low ;false;
985;true;3;false;on ;low ;false;
1019;false;6;false;on ;low ;false;
1055;true;8;false;off ;low ;true;REQ005REQ009
1086;false;6;false;off ;low ;true;
1096;false;7;false;off ;low ;true;
1145;true;1;false;off ;low ;true;
