TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
340;0;0;79;2;2;
569;0;1;80;2;1;REQ010
910;1;2;80;2;0;REQ012
1180;1;2;80;2;0;
1476;0;1;81;1;1;REQ009REQ010REQ002
1765;0;0;80;2;1;REQ001
2008;1;2;79;2;0;REQ012
2306;0;0;79;2;0;
2632;1;0;81;0;0;REQ009REQ004REQ012
2907;1;1;81;1;1;REQ013REQ002
3225;1;0;80;2;0;REQ001REQ015
3508;0;0;81;0;0;REQ009REQ004
3842;0;2;80;2;3;REQ001REQ011
4078;1;1;81;0;0;REQ003REQ012REQ004
4302;1;2;80;2;3;REQ001REQ014
4534;0;2;81;3;3;REQ003
4850;1;0;79;2;0;REQ001REQ012
5191;1;1;81;1;1;REQ004REQ013REQ002
5429;1;1;79;2;1;REQ001
5749;1;2;81;3;3;REQ007REQ014REQ003
6083;1;1;80;2;1;REQ013REQ001
6371;0;1;79;2;1;
6654;0;0;81;1;1;REQ002
6994;0;0;79;2;1;REQ001
7326;1;0;80;2;0;REQ012
