TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
317;0;2;81;3;3;REQ011REQ003
556;1;1;81;0;0;REQ012REQ004
788;1;0;81;0;0;REQ004
1012;1;2;81;3;3;REQ004REQ014REQ003
1251;0;1;81;1;1;REQ010REQ002
1571;1;2;81;0;0;REQ012REQ004
1837;1;1;79;2;1;REQ001REQ013
2076;0;2;81;3;3;REQ002REQ011REQ003
2349;1;0;80;2;0;REQ001REQ012
2598;1;2;81;3;3;REQ004REQ014REQ003
2906;1;2;81;3;3;REQ003
3174;0;2;79;2;3;REQ001
3494;1;1;79;2;0;REQ012
3788;1;2;80;2;3;REQ014
4128;0;1;81;1;1;REQ003REQ010REQ002
4436;1;2;81;0;0;REQ002REQ012REQ004
4693;1;0;80;2;0;REQ001
4973;0;1;79;2;1;REQ010
5197;0;2;79;2;3;REQ011
5484;0;2;81;3;3;REQ008REQ003
5766;0;1;79;2;1;REQ001REQ010
6025;0;0;81;1;1;REQ002
6292;0;0;81;1;1;REQ002
6590;1;2;81;0;0;REQ002REQ012REQ004
6827;0;2;79;2;3;REQ017REQ001
