TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
39;true;true;true;true;3;
80;false;false;true;false;2;REQ003
131;true;false;false;false;4;REQ005
159;false;false;true;true;0;REQ001
200;true;true;false;true;0;
235;true;false;true;false;4;REQ005
272;true;false;false;false;4;REQ005
322;true;true;false;true;4;REQ006
367;false;false;true;false;2;REQ003
407;true;true;true;false;2;
450;false;true;true;true;5;REQ007
478;false;false;false;false;3;REQ004
518;false;true;false;false;5;REQ007
528;true;true;false;true;5;REQ008
552;true;true;true;false;5;
582;true;false;true;true;4;REQ005
610;false;false;false;false;3;REQ004
657;false;false;true;true;0;REQ001
692;true;true;true;false;0;
740;true;true;false;true;0;
785;true;true;false;false;0;
812;false;false;true;false;2;REQ003
855;true;false;false;true;4;REQ005
876;false;false;false;true;1;REQ002
903;false;true;false;false;5;REQ007
