TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;false;true;0;0;REQ001
5;true;false;0;0;
7;true;true;0;0;
9;true;false;0;0;
12;true;true;0;0;
15;false;false;0;0;
18;true;false;3;0;REQ002
21;true;true;3;0;
24;true;false;3;0;
27;true;false;3;0;
29;false;false;1;1;REQ004
31;false;false;1;1;
33;true;false;1;1;
35;false;true;0;1;REQ001
38;true;true;0;1;
41;false;true;0;1;
43;false;false;0;1;
45;false;false;0;1;
48;false;false;0;1;
50;false;true;0;1;
53;false;true;0;1;
56;false;false;0;1;
59;true;false;3;1;REQ002
61;false;true;3;1;
64;false;false;3;1;
67;true;false;3;1;
70;false;true;0;1;REQ004REQ001
73;true;true;0;1;
76;false;true;0;1;
79;true;false;0;1;
81;true;false;0;1;
84;true;true;0;1;
