TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;true;true;0;0;REQ001
5;true;false;0;0;
7;false;true;0;0;
9;true;true;0;0;
12;false;false;0;0;
14;false;false;0;0;
17;true;true;0;0;
20;false;false;0;0;
23;false;false;0;0;
25;false;true;0;0;
27;true;true;0;0;
30;false;true;0;0;
33;true;true;0;0;
36;false;true;0;0;
38;true;true;0;0;
41;false;true;0;0;
43;false;false;0;0;
46;true;true;0;0;
49;true;false;0;0;
52;true;false;0;0;
54;true;false;0;0;
57;true;false;0;0;
60;true;false;0;0;
63;true;true;0;0;
66;false;true;0;0;
68;false;true;0;0;
70;true;false;0;0;
72;true;true;0;0;
75;false;false;0;0;
77;true;false;2;0;REQ003
80;false;true;2;0;
82;false;false;2;0;
