TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
300;1;0;79;2;0;REQ012
566;0;0;79;2;0;
903;0;2;81;3;3;REQ009REQ004REQ011REQ003
1211;0;1;81;1;1;REQ010REQ002
1464;1;0;79;2;0;REQ001REQ012
1741;1;2;79;2;3;REQ014
1973;1;1;80;2;1;REQ013
2259;0;0;81;1;1;REQ002
2516;0;0;79;2;1;REQ001
2755;0;0;79;2;1;
2977;1;2;79;2;0;REQ012
3295;1;1;80;2;1;REQ013
3533;1;2;79;2;3;REQ014
3793;1;1;79;2;1;REQ013
4047;0;2;80;2;3;REQ011
4283;1;2;80;2;0;REQ012
4548;1;1;80;2;1;REQ013
4831;0;1;79;2;1;
5096;0;1;81;1;1;REQ002
5396;1;0;79;2;0;REQ001REQ012
5715;1;2;79;2;3;REQ014
5942;0;1;79;2;1;REQ010
6175;1;1;80;2;0;REQ012
6500;1;2;80;2;3;REQ014
6827;1;2;80;2;3;
