TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
44;true;0;true;on ;low ;false;
77;false;2;false;on ;low ;false;
118;false;9;true;off ;permitted ;false;REQ001REQ011
154;false;7;true;on ;low ;false;REQ003REQ010
197;false;0;false;on ;low ;false;
241;true;8;true;on ;low ;false;
279;false;11;true;off ;high ;false;REQ001REQ002REQ011
318;false;5;false;on ;low ;false;REQ004REQ003REQ010
356;true;9;true;off ;permitted ;false;REQ001REQ011
400;false;0;true;on ;low ;false;REQ003REQ010
442;false;10;false;off ;high ;false;REQ001REQ002REQ011
491;true;10;false;off ;high ;false;
505;true;6;false;on ;low ;false;REQ004REQ003REQ010
517;false;9;false;off ;permitted ;false;REQ001REQ011
562;false;0;true;on ;low ;false;REQ003REQ010
591;true;5;true;on ;low ;false;
629;false;10;true;off ;high ;false;REQ001REQ002REQ011
656;false;1;false;on ;low ;false;REQ004REQ003REQ010
689;false;5;false;on ;low ;false;
717;false;9;false;off ;permitted ;false;REQ001REQ011
729;true;4;false;off ;low ;true;REQ003REQ005
776;false;1;false;off ;low ;true;
790;false;5;true;on ;low ;false;REQ006REQ010
830;true;4;true;on ;low ;false;
860;false;6;true;on ;low ;false;
879;false;6;true;on ;low ;false;
902;false;10;false;off ;high ;false;REQ001REQ011REQ002
953;false;9;false;off ;permitted ;false;REQ004
968;false;7;true;on ;low ;false;REQ003REQ010
987;false;8;false;on ;low ;false;
1009;true;5;true;on ;low ;false;
1059;true;3;true;on ;low ;false;
1102;true;9;true;off ;permitted ;false;REQ001REQ011
1124;true;3;true;on ;low ;false;REQ003REQ010
1134;true;10;true;off ;high ;false;REQ001REQ002REQ011
1162;true;0;true;on ;low ;false;REQ004REQ003REQ010
