TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;true;true;0;0;REQ001
5;false;true;0;0;
7;false;true;0;0;
10;true;false;0;0;
13;true;true;0;0;
16;true;true;0;0;
18;false;true;0;0;
21;true;false;0;0;
23;true;true;0;0;
26;false;false;0;0;
29;true;true;0;0;
31;false;true;0;0;
34;false;false;0;0;
36;true;false;2;0;REQ003
39;true;true;2;0;
41;false;false;2;0;
44;false;false;2;0;
46;false;true;2;0;
49;true;false;2;0;
52;false;false;2;0;
55;true;false;2;0;
58;false;true;2;0;
60;false;true;2;0;
63;true;false;2;0;
66;true;true;0;0;REQ005REQ001
68;false;true;0;0;
70;false;true;0;0;
72;true;false;0;0;
75;false;false;0;0;
78;false;false;0;0;
81;false;true;0;0;
84;false;true;0;0;
