TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;true;false;1;0;
4;false;false;1;0;
7;false;false;1;0;
9;true;true;0;0;REQ001
12;false;false;0;0;
15;true;false;3;0;REQ002
18;true;true;3;0;
20;false;true;3;0;
22;false;false;3;0;
24;true;true;3;0;
27;false;true;1;1;REQ004
29;true;false;1;1;
31;true;false;1;1;
34;true;false;1;1;
36;true;false;1;1;
38;true;true;0;1;REQ001
41;true;false;0;1;
44;false;true;0;1;
47;false;true;0;1;
50;true;false;0;1;
53;true;true;0;1;
56;true;false;0;1;
58;false;false;0;1;
60;false;true;0;1;
62;true;false;0;1;
65;false;false;0;1;
67;true;false;3;1;REQ002
69;true;true;3;1;
72;true;true;3;1;
74;true;false;3;1;
77;true;true;0;1;REQ004REQ001
80;true;false;0;1;
