TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;true;false;1;0;
4;true;true;0;0;REQ001
6;true;true;0;0;
8;false;true;0;0;
10;true;true;0;0;
12;true;false;0;0;
15;false;false;0;0;
18;true;false;3;0;REQ002
21;false;false;3;0;
23;false;true;3;0;
26;false;false;3;0;
29;false;true;0;1;REQ004REQ001
32;true;true;0;1;
34;true;false;0;1;
36;true;false;0;1;
38;true;true;0;1;
40;true;false;0;1;
43;false;false;0;1;
45;false;false;0;1;
48;false;false;0;1;
51;false;true;0;1;
53;false;false;0;1;
55;false;false;0;1;
57;true;true;0;1;
59;true;false;0;1;
61;false;true;0;1;
64;true;false;0;1;
67;true;false;0;1;
69;false;true;0;1;
71;true;true;0;1;
74;true;false;0;1;
77;false;false;0;1;
