TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
35;true;11;false;off ;high ;false;REQ001REQ002REQ011
67;false;4;true;on ;low ;false;REQ004REQ003REQ010
82;true;4;false;off ;low ;true;REQ005REQ009
115;false;2;false;off ;low ;true;
141;true;1;true;on ;low ;false;REQ006REQ010
168;false;1;true;on ;low ;false;
217;false;11;true;off ;high ;false;REQ001REQ002REQ011
259;true;0;true;on ;low ;false;REQ004REQ003REQ010
279;true;10;false;off ;high ;false;REQ001REQ002REQ011
301;true;7;false;on ;low ;false;REQ004REQ003REQ010
338;false;4;false;on ;low ;false;
387;false;3;false;on ;low ;false;
433;false;5;false;on ;low ;false;
480;true;3;false;off ;low ;true;REQ005REQ009
528;false;1;true;on ;low ;false;REQ006REQ010
544;true;10;true;off ;high ;false;REQ001REQ002REQ011
579;true;5;false;on ;low ;false;REQ004REQ003REQ010
611;true;5;false;on ;low ;false;
639;true;3;true;on ;low ;false;
689;false;2;true;on ;low ;false;
739;false;7;false;on ;low ;false;
766;false;7;false;on ;low ;false;
795;true;5;false;off ;low ;true;REQ005REQ009
825;true;0;false;off ;low ;true;
842;false;2;true;on ;low ;false;REQ006REQ010
875;true;7;true;on ;low ;false;
915;true;3;false;on ;low ;false;
944;true;10;true;off ;high ;false;REQ001REQ011REQ002
962;true;10;true;off ;high ;false;
990;false;4;true;on ;low ;false;REQ004REQ003REQ010
1001;true;7;false;off ;low ;true;REQ005REQ009
1033;false;11;false;off ;high ;false;REQ001REQ002REQ007
1053;true;0;false;off ;low ;true;REQ004REQ003REQ010REQ005REQ009
1097;true;0;false;off ;low ;true;
1146;false;9;true;off ;permitted ;false;REQ001REQ006
1174;false;4;false;on ;low ;false;REQ003REQ010
