TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
332;0;0;79;2;2;
661;1;1;81;0;0;REQ012REQ004
911;1;1;79;2;0;REQ001
1175;0;2;81;3;3;REQ004REQ011REQ003
1404;0;0;80;2;3;REQ001
1636;1;0;81;0;0;REQ003REQ012REQ004
1918;0;1;79;2;1;REQ001REQ010
2221;0;1;81;1;1;REQ007REQ002
2443;0;1;80;2;1;REQ001
2738;0;0;79;2;1;
2969;0;1;79;2;1;REQ010
3276;0;2;80;2;3;REQ011
3574;0;1;80;2;1;REQ010
3876;1;0;80;2;0;REQ012
4096;0;0;81;0;0;REQ009REQ004
4409;1;1;81;0;0;REQ012
4648;0;1;81;1;1;REQ016REQ002
4981;0;0;81;1;1;REQ002
5245;1;1;81;0;0;REQ002REQ012REQ004
5489;1;2;81;3;3;REQ014REQ003
5716;1;0;81;0;0;REQ015REQ004
5949;1;0;79;2;0;REQ001
6209;0;0;80;2;0;
6439;0;1;79;2;1;REQ010
6757;0;0;79;2;1;
