TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
38;true;9;true;off ;permitted ;false;REQ001REQ011
66;false;6;true;on ;low ;false;REQ003REQ010
98;true;7;false;off ;low ;true;REQ005REQ009
133;true;6;true;on ;low ;false;REQ006REQ010
154;true;1;false;on ;low ;false;
202;false;0;false;on ;low ;false;
223;true;3;true;on ;low ;false;
260;true;1;false;on ;low ;false;
281;false;8;true;on ;low ;false;
310;false;9;true;off ;permitted ;false;REQ001REQ011
347;true;3;false;off ;low ;true;REQ005REQ003
364;true;1;true;on ;low ;false;REQ006REQ010
378;true;1;true;on ;low ;false;
405;false;7;false;on ;low ;false;
426;false;0;false;on ;low ;false;
440;true;5;false;off ;low ;true;REQ005REQ009
471;true;9;true;off ;permitted ;false;REQ006REQ001
511;true;2;true;on ;low ;false;REQ003REQ010
556;false;4;false;on ;low ;false;
594;true;7;false;off ;low ;true;REQ005REQ009
621;true;8;false;off ;low ;true;
658;true;9;true;off ;permitted ;false;REQ006REQ010REQ001REQ011
698;true;8;false;on ;low ;false;REQ003REQ010
724;false;9;false;off ;permitted ;false;REQ001REQ011
746;true;5;true;on ;low ;false;REQ003REQ010
788;true;8;false;on ;low ;false;
822;true;9;true;off ;permitted ;false;REQ001REQ011
833;true;7;true;on ;low ;false;REQ003REQ010
875;true;11;false;off ;high ;false;REQ001REQ011REQ002
911;false;7;false;on ;low ;false;REQ004REQ003REQ010
954;true;5;false;off ;low ;true;REQ005REQ009
1004;false;9;false;off ;permitted ;true;REQ001
1035;true;1;false;off ;low ;true;REQ003
1053;true;2;true;on ;low ;false;REQ006REQ010
1086;false;6;true;on ;low ;false;
1132;false;0;true;on ;low ;false;
