TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;false;true;0;0;REQ001
5;true;true;0;0;
8;true;true;0;0;
10;false;true;0;0;
13;false;false;0;0;
15;false;true;0;0;
17;true;false;0;0;
19;false;false;0;0;
22;false;false;0;0;
25;false;true;0;0;
27;true;true;0;0;
30;false;true;0;0;
33;true;false;0;0;
36;true;false;0;0;
38;true;true;0;0;
41;false;false;0;0;
43;true;true;0;0;
46;true;true;0;0;
49;true;true;0;0;
52;true;false;0;0;
55;false;false;0;0;
58;false;true;0;0;
60;true;true;0;0;
63;false;true;0;0;
66;false;false;0;0;
69;false;false;0;0;
72;false;false;0;0;
74;false;false;0;0;
76;false;true;0;0;
78;false;false;0;0;
80;false;true;0;0;
83;false;false;0;0;
