TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
233;1;0;79;2;0;REQ012
479;0;1;80;2;1;REQ010
751;1;0;81;0;0;REQ012REQ004
1085;0;1;80;2;1;REQ001REQ010
1380;0;2;81;3;3;REQ002REQ011REQ003
1654;1;0;80;2;0;REQ001REQ012
1936;0;2;81;3;3;REQ011REQ003
2277;1;2;81;0;0;REQ012REQ004
2597;1;0;79;2;0;REQ001
2828;0;0;80;2;0;
3114;1;1;79;2;0;REQ012
3367;1;2;81;3;3;REQ004REQ014REQ003
3627;1;0;80;2;0;REQ001REQ015
3950;0;1;81;1;1;REQ004REQ010REQ002
4172;0;2;79;2;3;REQ001REQ011
4451;0;1;80;2;1;REQ010
4719;0;1;79;2;1;
5040;0;2;80;2;3;REQ011
5268;1;2;81;0;0;REQ003REQ012REQ004
5601;1;2;80;2;0;REQ001
5873;1;0;81;0;0;REQ009REQ004
6174;1;2;80;2;3;REQ001REQ014
6466;1;1;79;2;1;REQ013
6760;1;1;79;2;1;
7002;0;1;80;2;1;
