TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;false;true;0;0;REQ001
5;true;false;0;0;
7;false;false;0;0;
10;true;true;0;0;
13;false;true;0;0;
16;false;false;0;0;
18;false;false;0;0;
20;false;false;0;0;
23;false;true;0;0;
25;false;false;0;0;
27;false;true;0;0;
29;true;true;0;0;
31;false;true;0;0;
33;true;false;0;0;
36;true;false;0;0;
39;false;true;0;0;
41;true;false;0;0;
44;false;false;0;0;
46;false;false;0;0;
48;true;false;2;0;REQ003
50;true;false;2;0;
53;false;true;2;0;
56;true;true;2;0;
59;false;true;2;0;
62;true;false;2;0;
64;true;false;2;0;
66;false;false;2;0;
69;true;false;2;0;
72;false;false;2;0;
75;true;false;2;0;
78;false;true;0;0;REQ005REQ001
80;false;true;0;0;
