TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
254;0;2;81;3;3;REQ011REQ003
476;1;0;81;0;0;REQ012REQ004
738;1;2;79;2;3;REQ001REQ014
1013;0;2;79;2;3;
1313;1;0;80;2;0;REQ012
1567;0;2;81;3;3;REQ011REQ003
1815;0;2;79;2;3;REQ001
2080;0;1;79;2;1;REQ010
2401;0;1;81;1;1;REQ007REQ002
2735;0;1;80;2;1;REQ001
3064;0;2;79;2;3;REQ011
3291;1;0;80;2;0;REQ012
3596;1;1;79;2;1;REQ013
3818;1;1;81;1;1;REQ007REQ002
4117;0;2;80;2;3;REQ011REQ001
4343;0;0;80;2;3;
4575;1;0;81;0;0;REQ003REQ012REQ004
4908;0;0;80;2;0;REQ001
5230;1;0;81;0;0;REQ012REQ004
5557;0;2;79;2;3;REQ001REQ011
5841;0;0;79;2;3;
6097;1;0;81;0;0;REQ008REQ012REQ004
6377;0;1;80;2;1;REQ001REQ010
6599;0;0;79;2;1;
6834;0;1;80;2;1;REQ010
