TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
230;0;0;81;2;2;REQ005
560;0;0;79;2;2;REQ001
887;0;1;80;2;1;REQ010
1166;1;2;79;2;0;REQ012
1463;0;2;80;2;3;REQ017
1703;0;2;79;2;3;
2007;1;2;79;2;0;REQ012
2285;0;0;81;0;0;REQ004
2612;1;2;80;2;0;REQ012REQ001
2907;1;2;79;2;0;
3181;1;2;80;2;0;
3476;1;1;79;2;1;REQ013
3765;1;0;81;0;0;REQ007REQ002REQ015REQ004
4009;1;1;81;1;1;REQ013REQ002
4265;0;1;80;2;1;REQ001
4500;1;2;79;2;0;REQ012
4831;0;0;79;2;0;
5086;1;0;79;2;0;REQ012
5307;0;0;79;2;0;
5638;1;1;80;2;0;REQ012
5953;1;1;80;2;0;
6195;0;2;81;3;3;REQ011REQ003
6471;0;0;79;2;3;REQ001
6761;0;2;81;3;3;REQ008REQ011REQ003
7089;1;2;79;2;0;REQ012REQ001
