TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
16;false;1;false;on ;low ;false;
36;false;10;true;off ;high ;false;REQ001REQ002REQ011
74;true;10;true;off ;high ;false;
85;true;9;false;off ;permitted ;false;REQ004
130;false;0;false;on ;low ;false;REQ003REQ010
178;false;0;true;on ;low ;false;
229;true;7;false;off ;low ;true;REQ005REQ009
255;false;2;false;off ;low ;true;
267;true;10;false;off ;high ;false;REQ001REQ002REQ007
278;false;0;false;on ;low ;false;REQ004REQ003REQ010
318;true;3;true;on ;low ;false;
334;true;4;true;on ;low ;false;
384;true;6;false;on ;low ;false;
410;false;0;true;on ;low ;false;
446;true;8;true;on ;low ;false;
471;true;9;false;off ;permitted ;false;REQ001REQ011
515;true;10;true;off ;high ;false;REQ002
534;false;1;false;on ;low ;false;REQ004REQ003REQ010
550;true;7;true;on ;low ;false;
563;false;4;false;on ;low ;false;
599;true;0;false;off ;low ;true;REQ005REQ009
643;true;1;true;on ;low ;false;REQ006REQ010
653;false;2;false;on ;low ;false;
666;false;4;true;on ;low ;false;
710;false;4;false;on ;low ;false;
747;false;5;false;on ;low ;false;
783;true;6;false;off ;low ;true;REQ005REQ009
810;true;11;false;off ;high ;false;REQ001REQ002REQ007
835;true;0;true;on ;low ;false;REQ004REQ003REQ010
876;true;4;false;on ;low ;false;
925;true;0;true;on ;low ;false;
953;false;4;true;on ;low ;false;
989;false;11;false;off ;high ;false;REQ001REQ002REQ011
1039;false;5;true;on ;low ;false;REQ004REQ003REQ010
1075;true;5;true;on ;low ;false;
1118;false;6;true;on ;low ;false;
