TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
307;1;0;81;0;0;REQ005REQ012REQ004
571;0;0;79;2;0;REQ001
843;0;0;81;0;0;REQ009REQ004
1162;1;2;79;2;0;REQ012REQ001
1412;0;1;79;2;1;REQ010
1645;0;1;81;1;1;REQ002
1911;0;2;79;2;3;REQ011REQ001
2209;0;2;79;2;3;
2455;0;2;81;3;3;REQ008REQ003
2769;0;2;81;3;3;REQ003
3030;1;1;80;2;0;REQ001REQ012
3255;0;0;79;2;0;
3539;0;1;81;1;1;REQ010REQ002
3864;0;2;80;2;3;REQ011REQ001
4168;0;0;79;2;3;
4425;0;0;80;2;3;
4714;0;0;81;3;3;REQ008REQ003
4978;0;2;79;2;3;REQ001REQ011
5274;0;0;79;2;3;
5505;1;0;79;2;0;REQ012
5824;1;2;79;2;3;REQ014
6163;0;0;80;2;3;
6491;1;1;80;2;0;REQ012
6751;0;1;79;2;1;REQ016
6977;0;0;79;2;1;
