TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
257;0;0;81;2;2;REQ005
556;1;0;80;2;0;REQ001REQ012
821;0;1;80;2;1;REQ010
1058;0;1;79;2;1;
1343;0;1;81;1;1;REQ002
1624;1;0;80;2;0;REQ001REQ012
1963;1;0;80;2;0;
2273;0;2;81;3;3;REQ009REQ004REQ011REQ003
2595;0;0;80;2;3;REQ001
2878;1;2;79;2;0;REQ012
3194;1;1;81;1;1;REQ013REQ002
3441;1;0;79;2;0;REQ015REQ001
3755;0;2;79;2;3;REQ011
4089;1;1;80;2;0;REQ012
4374;0;1;80;2;1;REQ016
4621;1;2;80;2;0;REQ012
4912;1;0;81;0;0;REQ009REQ004
5144;1;0;79;2;0;REQ001
5370;0;2;81;3;3;REQ004REQ011REQ003
5697;1;0;79;2;0;REQ012REQ001
5920;0;1;80;2;1;REQ010
6225;0;1;79;2;1;
6535;1;0;80;2;0;REQ012
6870;0;0;81;0;0;REQ009REQ004
7141;1;0;81;0;0;REQ012
