TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;true;true;0;0;REQ001
5;false;true;0;0;
7;false;true;0;0;
10;false;true;0;0;
13;false;false;0;0;
16;false;false;0;0;
19;false;false;0;0;
22;false;false;0;0;
24;false;true;0;0;
26;false;false;0;0;
29;false;false;0;0;
31;false;false;0;0;
34;true;false;2;0;REQ003
37;true;true;2;0;
40;false;true;2;0;
42;false;false;2;0;
44;false;true;2;0;
46;false;true;2;0;
49;false;false;2;0;
51;true;false;2;0;
54;false;true;2;0;
56;true;true;2;0;
59;true;true;2;0;
61;true;false;2;0;
64;false;false;1;0;REQ005
66;false;true;0;0;REQ001
68;false;true;0;0;
70;true;false;0;0;
73;false;true;0;0;
76;false;true;0;0;
78;false;false;0;0;
80;true;false;3;0;REQ002
