TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
314;0;2;80;2;3;REQ011
542;0;0;80;2;3;
869;1;0;80;2;0;REQ012
1204;1;1;80;2;1;REQ013
1438;1;1;79;2;1;
1713;0;0;80;2;1;
2052;1;2;81;0;0;REQ012REQ004
2357;1;2;80;2;0;REQ001
2616;1;1;80;2;1;REQ013
2836;0;0;80;2;1;
3120;0;2;81;3;3;REQ007REQ002REQ011REQ003
3412;0;0;80;2;3;REQ001
3682;1;1;80;2;0;REQ012
3915;0;1;80;2;1;REQ016
4143;0;1;80;2;1;
4467;1;0;79;2;0;REQ012
4731;0;0;80;2;0;
5007;0;0;80;2;0;
5274;0;1;79;2;1;REQ010
5502;0;1;79;2;1;
5800;0;2;80;2;3;REQ011
6046;1;2;81;0;0;REQ008REQ003REQ012REQ004
6369;1;2;80;2;0;REQ001
6654;0;2;81;3;3;REQ009REQ017REQ003
6951;1;0;80;2;0;REQ001REQ012
