TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
19;false;0;true;on ;low ;false;
56;true;2;false;off ;low ;true;REQ005REQ009
82;true;3;false;off ;low ;true;
117;false;0;false;off ;low ;true;
149;false;8;false;off ;low ;true;
185;false;10;false;off ;high ;false;REQ001REQ002REQ007
199;false;2;false;on ;low ;false;REQ004REQ003REQ010
249;false;6;true;on ;low ;false;
284;true;4;true;on ;low ;false;
333;false;1;true;on ;low ;false;
375;false;5;false;on ;low ;false;
415;true;6;false;off ;low ;true;REQ005REQ009
434;false;9;true;off ;permitted ;false;REQ001REQ006
479;true;3;true;on ;low ;false;REQ003REQ010
510;false;3;true;on ;low ;false;
529;true;6;true;on ;low ;false;
556;true;4;false;on ;low ;false;
586;true;9;true;off ;permitted ;false;REQ001REQ011
611;false;1;true;on ;low ;false;REQ003REQ010
634;true;4;true;on ;low ;false;
672;true;3;false;on ;low ;false;
708;true;5;true;on ;low ;false;
717;true;6;false;on ;low ;false;
762;true;3;false;on ;low ;false;
789;false;3;false;on ;low ;false;
809;false;0;true;on ;low ;false;
824;true;3;false;off ;low ;true;REQ005REQ009
843;true;2;false;off ;low ;true;
881;false;4;true;on ;low ;false;REQ006REQ010
911;false;4;true;on ;low ;false;
929;true;2;false;off ;low ;true;REQ005REQ009
973;true;5;false;off ;low ;true;
1011;false;2;true;on ;low ;false;REQ006REQ010
1057;false;8;false;on ;low ;false;
1093;false;11;true;off ;high ;false;REQ001REQ002REQ011
1113;false;10;true;off ;high ;false;
