TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
339;1;1;81;0;0;REQ005REQ012REQ004
631;1;2;81;3;3;REQ014REQ003
939;1;2;79;2;3;REQ001
1262;1;1;81;1;1;REQ013REQ002
1503;1;1;79;2;1;REQ001
1743;0;2;79;2;3;REQ011
1973;1;2;79;2;0;REQ012
2266;0;0;81;0;0;REQ009REQ004
2564;0;0;80;2;0;REQ001
2829;0;1;80;2;1;REQ010
3157;1;0;81;0;0;REQ007REQ002REQ012REQ004
3383;0;2;79;2;3;REQ011REQ001
3630;1;0;80;2;0;REQ012
3881;0;0;81;0;0;REQ004
4218;1;0;81;0;0;REQ012
4538;0;0;79;2;0;REQ001
4763;0;2;80;2;3;REQ011
5073;1;1;80;2;0;REQ012
5393;1;0;81;0;0;REQ004
5689;0;2;80;2;3;REQ011REQ001
5963;1;2;79;2;0;REQ012
6283;1;0;81;0;0;REQ004
6533;0;0;81;0;0;REQ004
6863;1;2;79;2;0;REQ001REQ012
7172;1;0;81;0;0;REQ004
