TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;false;false;1;0;
5;false;true;0;0;REQ001
8;true;false;0;0;
10;false;false;0;0;
13;false;false;0;0;
15;false;false;0;0;
18;true;true;0;0;
21;true;true;0;0;
24;false;true;0;0;
26;true;true;0;0;
28;true;false;0;0;
30;true;false;0;0;
33;false;false;0;0;
35;true;true;0;0;
38;false;false;0;0;
40;false;false;0;0;
43;false;false;0;0;
45;false;false;0;0;
48;true;false;2;0;REQ003
51;true;true;2;0;
53;true;true;2;0;
56;true;true;2;0;
58;true;true;2;0;
61;false;true;2;0;
63;false;false;2;0;
65;false;true;2;0;
67;true;true;2;0;
70;false;true;2;0;
72;false;true;2;0;
75;true;false;2;0;
77;false;true;2;0;
79;true;false;1;0;REQ005
