TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
15;false;true;true;false;5;REQ007
57;true;true;true;true;5;REQ008
88;false;false;false;true;1;REQ002
108;false;true;true;true;5;REQ007
117;true;false;false;false;4;REQ005
144;false;false;true;true;0;REQ001
158;false;false;false;true;1;REQ002
181;false;true;true;false;5;REQ007
220;false;false;true;false;2;REQ003
251;true;false;true;true;4;REQ005
289;false;true;true;true;5;REQ007
333;true;false;true;true;4;REQ005
376;true;false;true;false;4;REQ005
398;false;false;true;false;2;REQ003
423;true;false;true;true;4;REQ005
465;false;true;true;false;5;REQ007
489;false;false;true;true;0;REQ001
511;true;false;true;true;4;REQ005
550;true;false;false;true;4;REQ005
582;false;true;true;true;5;REQ007
631;true;false;false;true;4;REQ005
647;false;false;false;true;1;REQ002
683;true;true;false;false;1;
727;true;false;true;true;4;REQ005
750;true;true;true;true;4;REQ006
