TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;true;true;0;0;REQ001
4;false;true;0;0;
6;true;false;0;0;
9;false;false;0;0;
12;true;false;3;0;REQ002
14;true;false;3;0;
17;true;false;3;0;
20;true;false;3;0;
22;true;true;0;1;REQ004REQ001
24;false;true;0;1;
27;false;true;0;1;
29;true;true;0;1;
31;false;true;0;1;
33;true;true;0;1;
35;false;false;0;1;
37;false;false;0;1;
39;true;false;3;1;REQ002
41;true;false;3;1;
43;true;true;3;1;
46;true;true;3;1;
48;false;false;3;1;
50;false;false;1;1;REQ004
52;false;true;0;1;REQ001
54;true;true;0;1;
57;true;true;0;1;
59;true;false;0;1;
61;false;false;0;1;
64;true;false;3;1;REQ002
67;true;false;3;1;
70;false;true;3;1;
73;true;false;3;1;
76;false;false;1;1;REQ004
