TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
290;0;2;81;3;3;REQ005REQ011REQ003
536;0;2;81;3;3;REQ003
856;1;0;81;0;0;REQ003REQ012REQ004
1157;0;2;81;3;3;REQ011REQ003
1385;1;1;79;2;0;REQ001REQ012
1613;1;1;79;2;0;
1876;1;1;81;0;0;REQ009REQ004
2178;0;1;81;1;1;REQ004REQ016REQ002
2499;0;2;79;2;3;REQ001REQ011
2763;1;2;79;2;0;REQ012
2982;0;1;81;1;1;REQ004REQ010REQ002
3286;1;2;81;0;0;REQ002REQ012REQ004
3591;0;1;79;2;1;REQ010REQ001
3919;0;2;79;2;3;REQ011
4238;1;2;79;2;0;REQ012
4466;0;1;81;1;1;REQ009REQ010REQ002
4736;1;1;81;0;0;REQ002REQ012REQ004
4972;0;2;81;3;3;REQ004REQ011REQ003
5267;0;1;80;2;1;REQ001REQ010
5497;1;1;81;0;0;REQ002REQ012REQ004
5806;1;2;81;3;3;REQ004REQ014REQ003
6106;0;0;80;2;3;REQ001
6428;1;0;80;2;0;REQ012
6735;0;0;80;2;0;
7068;0;0;80;2;0;
