TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
31;false;false;false;false;3;REQ004
61;true;false;false;true;4;REQ005
112;false;false;false;false;3;REQ004
148;true;false;false;false;4;REQ005
171;true;false;true;true;4;REQ005
206;true;true;true;true;4;REQ006
235;false;false;true;true;0;REQ001
278;false;true;true;true;5;REQ007
313;false;true;false;true;5;REQ007
359;false;false;true;true;0;REQ001
409;true;true;false;true;0;
418;false;true;false;true;5;REQ007
455;true;false;true;true;4;REQ005
491;true;false;true;true;4;REQ005
527;false;true;true;false;5;REQ007
570;false;true;false;true;5;REQ007
597;true;false;false;false;4;REQ005
620;true;false;true;true;4;REQ005
670;true;false;false;false;4;REQ005
694;false;false;false;false;3;REQ004
723;true;true;true;false;3;
741;true;false;true;false;4;REQ005
780;false;false;false;false;3;REQ004
814;false;true;true;true;5;REQ007
862;true;false;true;true;4;REQ005
