TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
298;1;1;79;2;0;REQ012
520;1;1;79;2;0;
840;0;2;79;2;3;REQ011
1143;1;0;80;2;0;REQ012
1416;0;0;80;2;0;
1714;0;0;81;0;0;REQ004
2024;1;2;79;2;0;REQ012REQ001
2289;0;1;79;2;1;REQ010
2620;1;1;81;0;0;REQ012REQ004
2938;0;1;81;1;1;REQ016REQ002
3276;1;0;79;2;0;REQ001REQ012
3504;0;1;81;1;1;REQ009REQ010REQ002
3842;0;0;80;2;1;REQ001
4135;1;1;81;0;0;REQ012REQ004
4387;1;1;81;0;0;REQ004
4642;0;0;81;0;0;REQ004
4947;1;0;79;2;0;REQ012REQ001
5248;1;0;80;2;0;
5479;0;1;79;2;1;REQ010
5742;1;2;81;0;0;REQ002REQ012REQ004
5962;0;0;81;0;0;REQ004
6269;1;1;81;0;0;REQ012
6534;1;2;80;2;3;REQ001REQ014
6830;0;2;80;2;3;
7067;0;1;81;1;1;REQ003REQ010REQ002
