TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
36;true;true;false;false;3;
80;true;true;true;false;3;
90;false;true;false;true;5;REQ007
103;true;true;true;false;5;REQ008
147;true;false;true;true;4;REQ005
184;false;true;false;false;5;REQ007
220;false;true;true;true;5;REQ007
247;false;true;true;true;5;REQ007
272;true;true;true;false;5;REQ008
313;false;true;false;false;5;REQ007
362;true;false;true;true;4;REQ005
390;true;false;true;true;4;REQ005
426;false;true;true;false;5;REQ007
476;true;false;true;true;4;REQ005
512;true;true;false;false;4;REQ006
555;true;true;true;false;4;
578;true;true;true;true;4;
596;true;true;true;true;4;
635;false;false;true;false;2;REQ003
684;false;false;true;false;2;REQ003
711;false;true;true;false;5;REQ007
756;false;false;true;true;0;REQ001
804;true;false;false;true;4;REQ005
824;true;true;false;false;4;REQ006
838;true;false;false;true;4;REQ005
