TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
36;true;4;true;on ;low ;false;
47;false;8;true;on ;low ;false;
64;false;3;true;on ;low ;false;
86;true;1;true;on ;low ;false;
136;true;10;true;off ;high ;false;REQ001REQ002REQ011
168;true;6;false;on ;low ;false;REQ004REQ003REQ010
194;false;1;true;on ;low ;false;
245;false;7;true;on ;low ;false;
290;true;7;false;off ;low ;true;REQ005REQ009
318;true;3;true;on ;low ;false;REQ006REQ010
328;true;8;false;on ;low ;false;
365;true;1;false;on ;low ;false;
393;true;6;false;on ;low ;false;
442;false;3;true;on ;low ;false;
475;false;8;false;on ;low ;false;
514;false;9;false;off ;permitted ;false;REQ001REQ011
524;false;2;false;on ;low ;false;REQ003REQ010
573;false;9;true;off ;permitted ;false;REQ001REQ011
616;false;10;false;off ;high ;false;REQ002
636;false;9;false;off ;permitted ;false;REQ004
650;false;8;true;on ;low ;false;REQ003REQ010
681;true;10;false;off ;high ;false;REQ001REQ005REQ011REQ002REQ008
727;true;4;false;on ;low ;false;REQ004REQ003REQ010
767;false;6;false;on ;low ;false;
778;true;8;false;off ;low ;true;REQ005REQ009
820;false;8;false;off ;low ;true;
871;false;4;true;on ;low ;false;REQ006REQ010
904;false;8;false;on ;low ;false;
939;true;10;false;off ;high ;false;REQ001REQ011REQ005REQ002REQ008
985;false;3;false;on ;low ;false;REQ004REQ003REQ010
1016;true;8;true;on ;low ;false;
1064;false;4;false;on ;low ;false;
1102;true;6;false;off ;low ;true;REQ005REQ009
1138;true;9;false;off ;permitted ;true;REQ001
1188;true;3;true;on ;low ;false;REQ003REQ006REQ010
1210;true;0;true;on ;low ;false;
