TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
305;0;2;80;2;3;REQ011
560;0;0;80;2;3;
846;1;2;81;0;0;REQ012REQ004
1170;1;0;79;2;0;REQ001
1451;0;1;80;2;1;REQ010
1728;1;2;81;0;0;REQ007REQ012REQ004
2067;0;0;79;2;0;REQ001
2295;0;1;81;1;1;REQ010REQ002
2591;1;1;81;0;0;REQ002REQ012REQ004
2895;0;2;79;2;3;REQ011REQ001
3140;1;0;80;2;0;REQ012
3453;1;2;81;3;3;REQ009REQ014REQ003
3744;1;0;79;2;0;REQ015REQ001
4032;0;0;81;0;0;REQ009REQ004
4305;1;2;81;0;0;REQ004REQ012
4534;0;1;81;1;1;REQ010REQ002
4798;0;1;80;2;1;REQ001
5137;1;0;80;2;0;REQ012
5475;0;1;79;2;1;REQ010
5798;1;1;80;2;0;REQ012
6107;1;1;79;2;0;
6382;0;0;81;0;0;REQ004
6617;0;2;80;2;3;REQ001REQ011
6847;1;0;80;2;0;REQ012
7183;0;2;80;2;3;REQ011
