TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;true;true;0;0;REQ001
4;true;true;0;0;
7;true;false;0;0;
9;false;true;0;0;
12;true;true;0;0;
15;true;false;0;0;
18;false;false;0;0;
20;false;false;0;0;
23;true;true;0;0;
25;false;true;0;0;
28;false;false;0;0;
31;false;true;0;0;
33;false;false;0;0;
36;true;false;2;0;REQ003
38;true;true;2;0;
41;true;true;2;0;
43;false;false;2;0;
45;true;false;2;0;
47;false;true;2;0;
49;false;true;2;0;
51;true;false;2;0;
53;false;false;2;0;
55;false;false;2;0;
58;true;false;2;0;
60;true;true;2;0;
62;true;true;2;0;
65;true;true;2;0;
68;true;false;1;0;REQ005
70;true;false;1;0;
72;false;false;1;0;
74;true;false;1;0;
76;false;false;1;0;
