TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
46;true;false;false;true;4;REQ005
74;true;false;false;false;4;REQ005
106;true;true;false;false;4;REQ006
153;true;false;false;false;4;REQ005
191;true;true;false;true;4;REQ006
222;false;false;true;true;0;REQ001
236;false;false;true;false;2;REQ003
248;true;false;true;true;4;REQ005
286;false;false;false;true;1;REQ002
311;true;true;true;false;1;
325;true;false;false;true;4;REQ005
369;false;false;true;false;2;REQ003
409;true;true;false;true;2;
435;true;true;false;true;2;
454;false;false;true;true;0;REQ001
500;true;true;false;false;0;
546;false;false;false;false;3;REQ004
567;false;false;false;false;3;REQ004
577;false;true;false;false;5;REQ007
597;true;false;false;false;4;REQ005
633;true;true;true;true;4;REQ006
647;false;false;false;false;3;REQ004
667;false;true;true;false;5;REQ007
690;true;false;true;true;4;REQ005
716;true;false;false;false;4;REQ005
