TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
263;1;1;79;2;0;REQ012
540;0;0;81;0;0;REQ009REQ004
784;0;1;79;2;1;REQ001REQ010
1079;0;0;80;2;1;
1334;1;1;80;2;0;REQ012
1666;0;2;81;3;3;REQ009REQ011REQ003
1983;1;2;79;2;0;REQ001REQ012
2290;0;0;79;2;0;
2567;1;2;79;2;0;REQ012
2850;0;1;79;2;1;REQ010
3140;1;2;81;0;0;REQ007REQ012REQ004
3435;1;0;81;0;0;REQ004
3709;0;1;81;1;1;REQ010REQ002
3944;0;1;79;2;1;REQ001
4283;1;0;81;0;0;REQ012REQ004
4559;1;0;81;0;0;REQ004
4782;0;0;81;0;0;REQ004
5014;1;1;81;0;0;REQ012
5264;1;2;80;2;3;REQ014REQ001
5580;1;2;81;3;3;REQ008REQ003
5874;0;0;81;3;3;REQ003
6143;0;0;79;2;3;REQ001
6454;0;0;81;3;3;REQ008REQ003
6731;0;1;81;1;1;REQ010REQ002
6986;1;2;81;0;0;REQ002REQ012REQ004
